source_id,name,url,scope,access_status,robots_or_rights,ingestion_status,priority,next_action
src_ccc,Crop Circle Center,https://www.cropcirclecenter.com/,Worldwide event catalog through 2026,public,Metadata linked; contributor images not redistributed,ingested,high,Monitor monthly pages
src_iccra,ICCRA,https://iccra.org/,"607 canonical US/territory assertions from 1171 index occurrences; 48 report/historical documents; 681 non-UI image references",public,"robots.txt allows crawl; image redistribution not cleared",exhaustively_reconciled,high,"Register licensed aerial images and add reviewed field coordinates/orientations"
src_connector,Crop Circle Connector,https://cropcircleconnector.com/,"442 metadata assertions from public 2014-2026 season indexes",partly public,"robots.txt allows evaluated indexes; contributor image rights reserved",bounded_metadata_ingested,high,"Review 164 alias and 29 probable overlaps; request image permissions"
src_cra,Crop Circle Research Archive,https://circleresearcharchive.com/mast/the-database/,2850 formations and 17000 linked items,descriptive access,Contact archive for bulk/database access,registered,high,Request structured research access
src_blt,BLT Research,https://www.bltresearch.com/labreports.php,100 plus plant and soil lab reports,unavailable in bounded pass,"DNS unavailable; copyright retained",registered_fail_closed,high,"Retry host access and link reports only after reproducible retrieval"
src_dcca,Dutch Crop Circle Archive,https://www.dcca.nl/dcca.htm,"184 dated metadata assertions from linked year tables",public with terms,"No robots file returned; attribution required; images excluded",bounded_metadata_ingested,medium,"Review 3 alias and 54 probable overlaps; request image/publication permission"
src_vigay,Paul Vigay archive,https://www.vigay.com/cropcircles/articles/index.html,"12 dated field-report index assertions",public,"robots.txt allows index; item copyright varies; articles/images excluded",bounded_metadata_ingested,medium,"Review records and link additional reports without redistributing content"
src_cccrn,CCCRN news mirror,https://www.ufobc.ca/Supernatural/Cropcircles/cccrnnews.htm,"1 explicit single-event occurrence assertion",public mirror,"No robots file returned; mirrored copyright not assumed transferable",bounded_metadata_ingested,medium,"Review dated single-event pages; never substitute newsletter dates"
src_decoder,CropDecoder,https://cropdecoder.com/,4739 classified formations through 2024,public UI,robots.txt disallows API crawl,registered,medium,Seek permitted export or citation-only use
src_geonames,GeoNames,https://www.geonames.org/,Worldwide place gazetteer,public download,CC BY 4.0,ingested,high,Retain attribution and refresh periodically
src_user_legacy_anomalies_kml,User-supplied Anomalies_.kml.zip,,27 sanitized legacy crop-circle coordinate candidates from four KML documents,local user-supplied archive,"Rights and coordinate accuracy unknown; NetworkLinks, shortcuts, icons, and HTML were not executed",sanitized_offline_ingested,high,"Review candidate coordinates against dated source imagery; never auto-promote them to sites, overlays, alignments, or publication assets"
src_earthfiles,Earthfiles,https://www.earthfiles.com/,Case-specific historical reporting and contributor aerial imagery,public,"All rights reserved; source pages and images are link-only and are not packaged or embedded",focused_case_source,medium,"Use only case-specific metadata and rights-gated source links"
